"Champion","Picks","Bans","Presence","Wins","Losses","Winrate","KDA","Avg BT","GT","CSM","DPM","GPM","CSD@15","GD@15","XPD@15","Year"
"Aatrox Aatrox","22","58","100%","12","10","55%","2.8","4.1","32:05:00","8.1","503","385","10.2","222","292","2022"
"Yuumi Yuumi","8","68","95%","8","0","100%","13.8","3.5","31:58:00","0.2","424","269","-6.6","355","840","2022"
"Sejuani Sejuani","30","42","90%","16","14","53%","3.6","4.5","31:10:00","5.8","366","336","-4.7","-17","-44","2022"
"Caitlyn Caitlyn","8","62","88%","5","3","63%","4","3.4","33:05:00","9.3","483","420","-5.5","-297","-278","2022"
"Azir Azir","37","29","83%","19","18","51%","4","4.1","31:40:00","9.4","641","422","8.2","205","266","2022"
"Sylas Sylas","32","28","75%","21","11","66%","3.6","3.9","30:43:00","8.6","499","418","-4.6","-1","-56","2022"
"Graves Graves","25","34","74%","12","13","48%","3.9","4.3","32:30:00","7.3","451","401","14.4","558","477","2022"
"Maokai Maokai","21","35","70%","7","14","33%","2.2","3.9","29:36:00","6","443","310","-15.2","-691","-510","2022"
"Lucian Lucian","26","29","69%","15","11","58%","6.1","4.1","31:04:00","9.5","714","478","6.4","432","270","2022"
"Akali Akali","24","24","60%","12","12","50%","3.2","5.8","30:45:00","8.4","500","393","1.5","46","67","2022"
"Viego Viego","30","18","60%","19","11","63%","4.3","6.6","31:51:00","5.5","312","355","1.4","188","94","2022"
"Fiora Fiora","19","23","53%","9","10","47%","2.9","5.2","30:58:00","8.6","471","401","4.2","141","-103","2022"
"Renata Glasc Renata Glasc","21","20","51%","13","8","62%","4.2","6.9","31:21:00","0.7","174","247","-3.3","-140","-81","2022"
"Renekton Renekton","16","23","49%","5","11","31%","1.9","8.3","33:28:00","8.1","436","390","11.7","290","280","2022"
"Aphelios Aphelios","31","8","49%","17","14","55%","4.1","7.1","30:36:00","9.3","570","436","2","116","-20","2022"
"Viktor Viktor","19","16","44%","6","13","32%","2","6.4","34:09:00","8.6","663","389","-1.7","-200","-27","2022"
"Kalista Kalista","18","13","39%","7","11","39%","2.8","6.4","32:53:00","9.1","413","424","-4.3","-374","5","2022"
"Ornn Ornn","16","15","39%","9","7","56%","3.2","6.4","32:34:00","7","428","339","0.8","-77","151","2022"
"Nami Nami","26","1","34%","15","11","58%","4.7","5","31:04:00","0.4","199","249","-5.1","-13","-10","2022"
"Varus Varus","19","8","34%","9","10","47%","3.5","6.8","32:55:00","9","556","418","3.4","93","-45","2022"
"Lee Sin Lee Sin","15","8","29%","7","8","47%","2.7","8.8","31:48:00","5.1","255","309","-8.8","-444","-244","2022"
"LeBlanc LeBlanc","8","14","28%","3","5","38%","7.8","6.4","30:15:00","8","661","402","0.6","220","198","2022"
"Poppy Poppy","13","9","28%","4","9","31%","3","7.4","30:21:00","4.8","258","295","-6.8","-463","-426","2022"
"Heimerdinger Heimerdinger","8","13","26%","4","4","50%","2.1","3.9","34:45:00","1","426","252","-1.2","213","-77","2022"
"Camille Camille","11","10","26%","8","3","73%","3.6","8.1","34:52:00","7.7","514","396","-3.8","-134","225","2022"
"Nautilus Nautilus","7","11","23%","1","6","14%","1.3","8.8","34:53:00","1","110","204","4.9","-82","-335","2022"
"Vi Vi","12","6","23%","6","6","50%","3","9","29:49:00","5","242","318","-3.7","-50","-23","2022"
"Jarvan IV Jarvan IV","8","8","20%","2","6","25%","1.9","8.1","32:40:00","4.6","241","286","-13.9","-631","-387","2022"
"Jax Jax","11","5","20%","5","6","45%","2.1","5.2","31:03:00","7.9","330","369","-13.7","-233","-290","2022"
"Lulu Lulu","15","1","20%","8","7","53%","3.8","10","32:00:00","0.5","145","235","1.1","94","114","2022"
"Gragas Gragas","11","3","18%","8","3","73%","4","9.3","32:08:00","6.6","461","348","-8.9","-297","-113","2022"
"Lissandra Lissandra","5","9","18%","3","2","60%","3.4","2.8","27:44:00","7.8","409","380","-6","-324","-197","2022"
"Gnar Gnar","9","5","18%","4","5","44%","1.5","8.8","29:59:00","8.3","422","374","3.6","165","-24","2022"
"Taliyah Taliyah","7","7","18%","3","4","43%","2.6","7.4","31:31:00","8.2","440","366","-9.4","-357","-429","2022"
"Ashe Ashe","6","7","16%","4","2","67%","4.5","6.3","36:38:00","7.4","450","388","7.5","416","451","2022"
"Draven Draven","6","7","16%","3","3","50%","1.9","7.6","31:33:00","8.9","430","469","-1.2","-40","-330","2022"
"Thresh Thresh","7","6","16%","4","3","57%","3.6","8.2","29:09:00","1.2","144","247","10.3","244","-19","2022"
"Kaisa Kaisa","8","5","16%","5","3","63%","7.2","8.2","30:26:00","9.5","510","458","-13","-894","-347","2022"
"Leona Leona","9","3","15%","2","7","22%","1.6","8.3","29:02:00","1.2","97","222","5.7","-111","153","2022"
"Ryze Ryze","4","8","15%","3","1","75%","3.4","5.3","32:09:00","8.8","509","443","0.8","83","-340","2022"
"Soraka Soraka","9","3","15%","4","5","44%","2.6","10","32:05:00","0.6","182","223","-10.6","63","-147","2022"
"Trundle Trundle","7","5","15%","4","3","57%","4.1","7","30:05:00","5.1","253","314","2.3","-334","21","2022"
"Amumu Amumu","6","5","14%","2","4","33%","2.1","8","31:18:00","1.2","170","233","7","-174","113","2022"
"Belveth Belveth","6","5","14%","1","5","17%","1.6","7.6","27:53:00","6.1","251","334","11.3","61","109","2022"
"Karma Karma","7","3","13%","2","5","29%","2","9.7","33:03:00","0.7","287","240","-0.1","90","-202","2022"
"Sivir Sivir","8","2","13%","7","1","88%","10.8","7.5","31:42:00","10.3","706","489","7.4","920","70","2022"
"Tristana Tristana","6","4","13%","1","5","17%","1.5","7.5","26:22:00","9.2","361","399","-7.7","-442","-283","2022"
"Yone Yone","5","5","13%","5","0","100%","4.8","6.8","32:37:00","9","650","460","14.6","858","479","2022"
"Gangplank Gangplank","4","5","11%","2","2","50%","3.3","9.2","29:03:00","7.8","832","469","0","230","31","2022"
"Miss Fortune Miss Fortune","8","1","11%","2","6","25%","2.7","7","32:44:00","9.6","537","406","0.4","-228","28","2022"
"Rell Rell","6","3","11%","4","2","67%","3.1","8.3","28:48:00","1.2","122","241","6.7","9","113","2022"
"Ezreal Ezreal","5","3","10%","1","4","20%","1.8","9.7","32:56:00","9.8","681","426","-5.6","-161","-149","2022"
"Galio Galio","4","4","10%","1","3","25%","1.8","6.5","33:09:00","7.2","461","346","-16.2","-573","-674","2022"
"Lux Lux","7","1","10%","3","4","43%","3.1","6","34:05:00","1.1","275","243","-5","-31","-7","2022"
"Tahm Kench Tahm Kench","6","2","10%","2","4","33%","2.1","8.5","29:57:00","1.2","161","222","10.3","-147","-9","2022"
"Kindred Kindred","4","4","10%","4","0","100%","6.8","9","35:39:00","6.3","388","363","-7.8","-130","-108","2022"
"Syndra Syndra","5","2","9%","0","5","0%","1.8","7.5","33:20:00","6.9","485","342","-5.8","-669","-323","2022"
"Ahri Ahri","5","1","8%","4","1","80%","13.2","10","35:22:00","9.3","672","464","5.8","789","268","2022"
"Hecarim Hecarim","4","2","8%","3","1","75%","6.4","8.5","35:52:00","6","354","364","9.5","836","236","2022"
"Jinx Jinx","4","2","8%","3","1","75%","12.7","9","27:38:00","9.9","504","453","-1.5","334","84","2022"
"Nidalee Nidalee","2","4","8%","1","1","50%","5","7","27:53:00","7.4","678","406","11","-54","52","2022"
"Pyke Pyke","1","5","8%","0","1","0%","0.8","8.8","39:20:00","1.2","213","256","12","-434","-507","2022"
"Senna Senna","3","3","8%","0","3","0%","1.4","4.3","31:37:00","1.6","232","254","9","123","-533","2022"
"Sett Sett","5","1","8%","2","3","40%","1.9","1","30:51:00","4.6","315","294","0.4","-419","-472","2022"
"Seraphine Seraphine","4","2","8%","0","4","0%","2.2","5","32:58:00","8.3","311","339","-19.2","-1368","-288","2022"
"Jayce Jayce","3","2","6%","3","0","100%","1.7","8.5","31:35:00","8","760","411","2","330","-50","2022"
"Kennen Kennen","3","2","6%","1","2","33%","1.5","8","31:12:00","7.5","498","350","12.3","527","132","2022"
"Alistar Alistar","2","2","5%","1","1","50%","5.5","8.5","29:50:00","0.9","160","246","6.5","-399","-454","2022"
"Braum Braum","2","2","5%","2","0","100%","14.5","10","33:57:00","1","201","264","-0.5","578","624","2022"
"Kayn Kayn","2","2","5%","0","2","0%","2.7","7","35:22:00","6.3","459","353","24.5","761","767","2022"
"Karthus Karthus","1","2","4%","1","0","100%","4","10","41:31:00","6.4","1316","455","-23","-145","-1114","2022"
"Nocturne Nocturne","1","2","4%","1","0","100%","3.3","4.5","30:54:00","5.5","374","373","5","-177","110","2022"
"Orianna Orianna","3","0","4%","2","1","67%","8.8","-","33:29:00","9.5","608","463","4.3","556","-85","2022"
"Swain Swain","2","1","4%","1","1","50%","4.3","5","25:45:00","8.2","493","366","0.5","31","75","2022"
"Blitzcrank Blitzcrank","2","0","3%","1","1","50%","3","-","26:05:00","1.2","153","247","11.5","418","72","2022"
"Darius Darius","1","1","3%","0","1","0%","4.5","10","34:40:00","6.6","432","373","-23","314","-566","2022"
"Fiddlesticks Fiddlesticks","1","1","3%","0","1","0%","1","2","25:04:00","5.1","340","295","-12","416","98","2022"
"Mordekaiser Mordekaiser","0","2","3%","","","","","10","","","","","","","","2022"
"Singed Singed","1","1","3%","0","1","0%","1.3","3","30:08:00","5","173","258","-54","-2140","-415","2022"
"Bard Bard","2","0","3%","1","1","50%","7.5","-","35:49:00","1.1","134","208","3.5","-827","160","2022"
"Jhin Jhin","2","0","3%","1","1","50%","4.5","-","28:40:00","7.9","496","378","-14.5","-728","-6","2022"
"Xayah Xayah","2","0","3%","1","1","50%","18","-","39:54:00","10.7","673","475","15.5","447","446","2022"
"Rakan Rakan","1","1","3%","1","0","100%","5","8","33:37:00","1.1","178","247","-2","-373","-543","2022"
"Gwen Gwen","2","0","3%","1","1","50%","1.6","-","35:54:00","7.9","639","386","-2","-217","-990","2022"
"Nilah Nilah","0","2","3%","","","","","9.5","","","","","","","","2022"
"Anivia Anivia","1","0","1%","0","1","0%","1.3","-","31:30:00","8.7","434","360","2","509","191","2022"
"Irelia Irelia","1","0","1%","0","1","0%","0.4","-","34:03:00","7.3","466","339","-13","-512","-1335","2022"
"Malphite Malphite","1","0","1%","0","1","0%","1","-","33:59:00","6.9","426","319","-3","16","-320","2022"
"Nasus Nasus","1","0","1%","0","1","0%","0.8","-","30:15:00","0.5","203","190","-2","-1443","-1264","2022"
"Olaf Olaf","0","1","1%","","","","","4","","","","","","","","2022"
"Rumble Rumble","1","0","1%","0","1","0%","0.5","-","30:15:00","7.7","385","347","-16","-594","-549","2022"
"Shen Shen","1","0","1%","1","0","100%","-","-","32:30:00","7.6","383","381","-5","362","494","2022"
"Wukong Wukong","1","0","1%","0","1","0%","1.4","-","42:20:00","3.8","281","270","-7","369","-554","2022"
"Xin Zhao Xin Zhao","1","0","1%","0","1","0%","1.3","-","28:31:00","6.3","266","317","28","208","944","2022"
"Annie Annie","0","0","0%","","","","","-","","","","","","","","2022"
"Brand Brand","0","0","0%","","","","","-","","","","","","","","2022"
"Cassiopeia Cassiopeia","0","0","0%","","","","","-","","","","","","","","2022"
"Chogath Chogath","0","0","0%","","","","","-","","","","","","","","2022"
"Corki Corki","0","0","0%","","","","","-","","","","","","","","2022"
"Diana Diana","0","0","0%","","","","","-","","","","","","","","2022"
"Dr. Mundo Dr. Mundo","0","0","0%","","","","","-","","","","","","","","2022"
"Elise Elise","0","0","0%","","","","","-","","","","","","","","2022"
"Evelynn Evelynn","0","0","0%","","","","","-","","","","","","","","2022"
"Fizz Fizz","0","0","0%","","","","","-","","","","","","","","2022"
"Garen Garen","0","0","0%","","","","","-","","","","","","","","2022"
"Janna Janna","0","0","0%","","","","","-","","","","","","","","2022"
"Kassadin Kassadin","0","0","0%","","","","","-","","","","","","","","2022"
"Katarina Katarina","0","0","0%","","","","","-","","","","","","","","2022"
"Kayle Kayle","0","0","0%","","","","","-","","","","","","","","2022"
"KhaZix KhaZix","0","0","0%","","","","","-","","","","","","","","2022"
"KogMaw KogMaw","0","0","0%","","","","","-","","","","","","","","2022"
"Malzahar Malzahar","0","0","0%","","","","","-","","","","","","","","2022"
"Master Yi Master Yi","0","0","0%","","","","","-","","","","","","","","2022"
"Morgana Morgana","0","0","0%","","","","","-","","","","","","","","2022"
"Nunu Nunu","0","0","0%","","","","","-","","","","","","","","2022"
"Pantheon Pantheon","0","0","0%","","","","","-","","","","","","","","2022"
"Quinn Quinn","0","0","0%","","","","","-","","","","","","","","2022"
"Rammus Rammus","0","0","0%","","","","","-","","","","","","","","2022"
"Rengar Rengar","0","0","0%","","","","","-","","","","","","","","2022"
"Riven Riven","0","0","0%","","","","","-","","","","","","","","2022"
"Shaco Shaco","0","0","0%","","","","","-","","","","","","","","2022"
"Shyvana Shyvana","0","0","0%","","","","","-","","","","","","","","2022"
"Sion Sion","0","0","0%","","","","","-","","","","","","","","2022"
"Skarner Skarner","0","0","0%","","","","","-","","","","","","","","2022"
"Sona Sona","0","0","0%","","","","","-","","","","","","","","2022"
"Talon Talon","0","0","0%","","","","","-","","","","","","","","2022"
"Taric Taric","0","0","0%","","","","","-","","","","","","","","2022"
"Teemo Teemo","0","0","0%","","","","","-","","","","","","","","2022"
"Tryndamere Tryndamere","0","0","0%","","","","","-","","","","","","","","2022"
"Twisted Fate Twisted Fate","0","0","0%","","","","","-","","","","","","","","2022"
"Twitch Twitch","0","0","0%","","","","","-","","","","","","","","2022"
"Udyr Udyr","0","0","0%","","","","","-","","","","","","","","2022"
"Urgot Urgot","0","0","0%","","","","","-","","","","","","","","2022"
"Vayne Vayne","0","0","0%","","","","","-","","","","","","","","2022"
"Veigar Veigar","0","0","0%","","","","","-","","","","","","","","2022"
"Vladimir Vladimir","0","0","0%","","","","","-","","","","","","","","2022"
"Volibear Volibear","0","0","0%","","","","","-","","","","","","","","2022"
"Warwick Warwick","0","0","0%","","","","","-","","","","","","","","2022"
"Xerath Xerath","0","0","0%","","","","","-","","","","","","","","2022"
"Yasuo Yasuo","0","0","0%","","","","","-","","","","","","","","2022"
"Yorick Yorick","0","0","0%","","","","","-","","","","","","","","2022"
"Zac Zac","0","0","0%","","","","","-","","","","","","","","2022"
"Zed Zed","0","0","0%","","","","","-","","","","","","","","2022"
"Ziggs Ziggs","0","0","0%","","","","","-","","","","","","","","2022"
"Zilean Zilean","0","0","0%","","","","","-","","","","","","","","2022"
"Zyra Zyra","0","0","0%","","","","","-","","","","","","","","2022"
"RekSai RekSai","0","0","0%","","","","","-","","","","","","","","2022"
"VelKoz VelKoz","0","0","0%","","","","","-","","","","","","","","2022"
"Ekko Ekko","0","0","0%","","","","","-","","","","","","","","2022"
"Illaoi Illaoi","0","0","0%","","","","","-","","","","","","","","2022"
"Aurelion Sol Aurelion Sol","0","0","0%","","","","","-","","","","","","","","2022"
"Kled Kled","0","0","0%","","","","","-","","","","","","","","2022"
"Ivern Ivern","0","0","0%","","","","","-","","","","","","","","2022"
"Zoe Zoe","0","0","0%","","","","","-","","","","","","","","2022"
"Neeko Neeko","0","0","0%","","","","","-","","","","","","","","2022"
"Qiyana Qiyana","0","0","0%","","","","","-","","","","","","","","2022"
"Lillia Lillia","0","0","0%","","","","","-","","","","","","","","2022"
"Samira Samira","0","0","0%","","","","","-","","","","","","","","2022"
"Akshan Akshan","0","0","0%","","","","","-","","","","","","","","2022"
"Vex Vex","0","0","0%","","","","","-","","","","","","","","2022"
"Zeri Zeri","0","0","0%","","","","","-","","","","","","","","2022"
"KSante KSante","0","0","0%","","","","","-","","","","","","","","2022"
"Milio Milio","0","0","0%","","","","","-","","","","","","","","2022"
"Naafiri Naafiri","0","0","0%","","","","","-","","","","","","","","2022"
"Briar Briar","0","0","0%","","","","","-","","","","","","","","2022"
