Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Lucian Lucian,11,60,93%,6,5,55%,3,3.6,32:44:00,8.9,482,428,0,755,0,2020
Graves Graves,52,18,92%,23,29,44%,3.1,4.9,32:06:00,6.9,391,367,2.8,71,138,2020
Ornn Ornn,29,40,91%,14,15,48%,3.2,3.9,32:06:00,7.6,381,349,-5.1,-509,-49,2020
Nidalee Nidalee,20,48,89%,11,9,55%,4.3,4,31:10:00,6.8,387,369,5.4,134,224,2020
Syndra Syndra,28,40,89%,14,14,50%,3.2,4.4,32:48:00,8.8,500,387,11.3,200,179,2020
Twisted Fate Twisted Fate,16,46,82%,9,7,56%,4.4,3.3,30:25:00,8.3,490,431,1.1,663,289,2020
Camille Camille,14,42,74%,8,6,57%,2.8,3.7,31:48:00,8,494,419,-2.9,374,158,2020
Ashe Ashe,32,20,68%,15,17,47%,3.6,6.6,32:28:00,9,498,414,1.7,208,56,2020
Renekton Renekton,22,30,68%,8,14,36%,1.9,5.3,32:02:00,8.2,377,383,11.1,-11,147,2020
Senna Senna,31,12,57%,14,17,45%,4.8,7.2,31:11:00,7.7,444,376,-2.7,-247,-193,2020
Leona Leona,24,18,55%,17,7,71%,2.6,7.8,32:34:00,1.2,130,237,0.5,116,58,2020
Jhin Jhin,31,11,55%,20,11,65%,6.9,7.5,31:10:00,9.1,486,433,-0.3,195,119,2020
Ezreal Ezreal,21,19,53%,12,9,57%,3,8.1,33:15:00,9.3,683,428,-4,-402,-51,2020
Orianna Orianna,28,12,53%,15,13,54%,4.4,6.7,33:36:00,9.1,438,409,2.2,-171,36,2020
Sett Sett,17,23,53%,9,8,53%,2.6,4.8,31:35:00,4.3,321,314,4.8,271,-57,2020
Caitlyn Caitlyn,11,28,51%,6,5,55%,5.3,4.9,32:26:00,9.8,513,449,8.3,527,213,2020
Pantheon Pantheon,17,21,50%,10,7,59%,2.3,8.3,31:46:00,1.8,280,264,1.5,287,77,2020
Lillia Lillia,25,13,50%,12,13,48%,3,5.2,31:45:00,6.5,408,355,2.9,-72,3,2020
Volibear Volibear,22,14,47%,12,10,55%,2.6,4.9,32:35:00,6.7,360,348,-9,-332,-497,2020
Shen Shen,8,24,42%,5,3,63%,3,3.8,34:58:00,6.8,299,347,0,29,-108,2020
Tahm Kench Tahm Kench,15,14,38%,8,7,53%,2.6,8.8,33:49:00,1,157,232,-1.5,-6,-222,2020
Kindred Kindred,19,9,37%,11,8,58%,4.8,5.6,31:48:00,6.4,375,367,-3.9,-54,-173,2020
Bard Bard,15,12,36%,9,6,60%,4.9,8.3,32:39:00,1.4,181,240,0.7,-108,273,2020
Kalista Kalista,8,17,33%,2,6,25%,1.9,5,30:59:00,9,326,389,8.1,116,-10,2020
Thresh Thresh,10,14,32%,4,6,40%,2.6,7.7,32:23:00,1.2,107,223,0.6,-170,-78,2020
Rakan Rakan,14,9,30%,7,7,50%,2.7,7.6,30:43:00,1.3,120,223,1.8,-84,73,2020
Sylas Sylas,11,9,26%,7,4,64%,4.9,6.7,29:15:00,8,456,391,7.7,64,198,2020
Galio Galio,15,4,25%,6,9,40%,3,6.3,32:21:00,7.6,304,355,-17.5,-554,-366,2020
Gangplank Gangplank,11,7,24%,5,6,45%,3,7.1,32:26:00,8.6,643,441,-3.3,481,-54,2020
Nautilus Nautilus,13,5,24%,2,11,15%,1.2,8.2,30:02:00,1.2,134,211,3.3,-256,-137,2020
Lulu Lulu,10,7,22%,5,5,50%,3.9,8.1,31:39:00,3.8,196,277,-0.8,55,429,2020
Azir Azir,10,5,20%,3,7,30%,2.7,7.2,32:06:00,9.2,353,394,0.1,47,58,2020
Akali Akali,5,9,18%,3,2,60%,3.8,5.2,36:55:00,8.5,456,405,4.8,157,404,2020
Twitch Twitch,2,12,18%,0,2,0%,1.3,7.6,31:02:00,7.8,551,368,-34,-2429,-1152,2020
Lee Sin Lee Sin,10,3,17%,4,6,40%,3.3,7.3,32:40:00,5.2,244,327,-14.2,-157,-394,2020
Jax Jax,7,5,16%,5,2,71%,3,6.8,35:55:00,8.6,454,427,-0.6,286,57,2020
Jayce Jayce,8,3,14%,2,6,25%,1.6,10,30:36:00,8.6,631,399,13.8,143,-75,2020
Zoe Zoe,8,3,14%,5,3,63%,7.5,8.7,31:04:00,8.3,516,387,-1,167,-184,2020
Evelynn Evelynn,4,6,13%,2,2,50%,2.5,3.8,31:56:00,6.1,376,356,-4.2,105,291,2020
Braum Braum,7,3,13%,4,3,57%,3.4,7.7,30:00:00,1.1,178,236,0.7,145,151,2020
Ekko Ekko,7,3,13%,5,2,71%,9.1,6.7,30:06:00,9.5,394,422,-5.1,174,-16,2020
Alistar Alistar,6,3,12%,0,6,0%,1.4,9.3,33:34:00,1.1,114,218,-2.3,-467,-215,2020
Blitzcrank Blitzcrank,4,4,11%,2,2,50%,2.7,7,30:02:00,0.9,132,226,-4.8,117,-501,2020
Hecarim Hecarim,4,4,11%,2,2,50%,4,4.8,29:59:00,6.4,259,349,-4,-238,-132,2020
Irelia Irelia,2,6,11%,1,1,50%,2,6,29:15:00,9.7,448,438,24,546,859,2020
Karma Karma,4,4,11%,3,1,75%,4.5,8.5,30:25:00,0.7,160,232,-16.5,-345,-492,2020
Lux Lux,5,3,11%,2,3,40%,3.4,9.3,33:24:00,1.3,120,228,5.6,236,146,2020
Wukong Wukong,3,5,11%,1,2,33%,1.4,9.2,33:29:00,8.4,374,399,1.7,452,405,2020
Aphelios Aphelios,6,2,11%,3,3,50%,3.4,8.5,31:47:00,9.1,549,428,10.5,518,493,2020
Kennen Kennen,4,3,9%,4,0,100%,3.4,7.3,31:18:00,8.6,608,439,5.5,726,382,2020
Sion Sion,6,1,9%,3,3,50%,2.9,10,30:32:00,8.2,333,378,4.7,142,183,2020
Gragas Gragas,3,3,8%,2,1,67%,5.2,6.7,34:28:00,6,391,343,-2.7,22,-157,2020
Swain Swain,0,6,8%,,,,,2.8,,,,,,,,2020
Vladimir Vladimir,3,3,8%,2,1,67%,1.3,9.7,29:58:00,9.2,535,394,2.3,-41,154,2020
Jarvan IV Jarvan IV,3,2,7%,2,1,67%,5.1,8,33:48:00,5,202,305,-2.7,-313,-97,2020
Kassadin Kassadin,2,3,7%,0,2,0%,0.5,7.3,29:21:00,6.9,302,333,-47,-2528,-1599,2020
Miss Fortune Miss Fortune,5,0,7%,3,2,60%,4.5,-,34:42:00,9.9,534,436,6,373,136,2020
Mordekaiser Mordekaiser,2,3,7%,0,2,0%,1.9,4.3,38:08:00,7.4,378,373,-6,-1154,-114,2020
Malphite Malphite,4,0,5%,2,2,50%,4.9,-,28:36:00,7.1,356,355,-35.2,-684,-494,2020
Yuumi Yuumi,0,4,5%,,,,,7.5,,,,,,,,2020
Draven Draven,2,1,4%,1,1,50%,4.7,9,32:07:00,8.6,379,431,12.5,759,383,2020
Taric Taric,3,0,4%,1,2,33%,2.6,-,29:03:00,1.1,46,220,-8,-87,-174,2020
Fiora Fiora,2,0,3%,1,1,50%,1.9,-,34:06:00,9.4,620,433,6,184,154,2020
Karthus Karthus,1,1,3%,0,1,0%,1.7,9,32:34:00,7.4,773,355,-33,-602,-357,2020
Ziggs Ziggs,2,0,3%,0,2,0%,0.4,-,31:43:00,7.8,650,346,-35,-2192,-1382,2020
Zilean Zilean,2,0,3%,0,2,0%,4.5,-,32:37:00,7.7,296,328,-23,-1249,-388,2020
VelKoz VelKoz,2,0,3%,0,2,0%,0.8,-,27:46:00,9,487,359,-9.5,-492,60,2020
Kayle Kayle,1,0,1%,0,1,0%,0,-,26:48:00,9.3,499,368,16,731,-222,2020
KhaZix KhaZix,1,0,1%,0,1,0%,1,-,29:44:00,5.2,330,297,-6,-1212,-927,2020
LeBlanc LeBlanc,1,0,1%,0,1,0%,1.5,-,36:54:00,7.8,323,371,-24,-704,-1068,2020
Maokai Maokai,1,0,1%,1,0,100%,3,-,30:00:00,8.2,553,368,-2,-195,13,2020
Morgana Morgana,0,1,1%,,,,,10,,,,,,,,2020
Nocturne Nocturne,1,0,1%,1,0,100%,3.3,-,32:10:00,8.3,331,415,-33,-1934,-808,2020
Quinn Quinn,1,0,1%,0,1,0%,2,-,32:10:00,8.1,523,394,6,1246,-341,2020
Rengar Rengar,1,0,1%,1,0,100%,12,-,34:41:00,6.1,306,344,1,-739,-998,2020
Ryze Ryze,1,0,1%,0,1,0%,1.3,-,23:46,7.4,249,324,-28,-2087,-1539,2020
Singed Singed,1,0,1%,1,0,100%,3.3,-,33:42:00,7.8,341,382,-23,-593,-929,2020
Urgot Urgot,1,0,1%,0,1,0%,1,-,32:52:00,7.3,243,349,-24,398,-430,2020
Vayne Vayne,1,0,1%,1,0,100%,13,-,30:01:00,7.9,404,469,32,1436,1485,2020
Gnar Gnar,1,0,1%,1,0,100%,4,-,32:52:00,8.5,356,395,24,-398,430,2020
Aatrox Aatrox,0,0,0%,,,,,-,,,,,,,,2020
Ahri Ahri,0,0,0%,,,,,-,,,,,,,,2020
Amumu Amumu,0,0,0%,,,,,-,,,,,,,,2020
Anivia Anivia,0,0,0%,,,,,-,,,,,,,,2020
Annie Annie,0,0,0%,,,,,-,,,,,,,,2020
Brand Brand,0,0,0%,,,,,-,,,,,,,,2020
Cassiopeia Cassiopeia,0,0,0%,,,,,-,,,,,,,,2020
Chogath Chogath,0,0,0%,,,,,-,,,,,,,,2020
Corki Corki,0,0,0%,,,,,-,,,,,,,,2020
Darius Darius,0,0,0%,,,,,-,,,,,,,,2020
Diana Diana,0,0,0%,,,,,-,,,,,,,,2020
Dr. Mundo Dr. Mundo,0,0,0%,,,,,-,,,,,,,,2020
Elise Elise,0,0,0%,,,,,-,,,,,,,,2020
Fiddlesticks Fiddlesticks,0,0,0%,,,,,-,,,,,,,,2020
Fizz Fizz,0,0,0%,,,,,-,,,,,,,,2020
Garen Garen,0,0,0%,,,,,-,,,,,,,,2020
Heimerdinger Heimerdinger,0,0,0%,,,,,-,,,,,,,,2020
Janna Janna,0,0,0%,,,,,-,,,,,,,,2020
Jinx Jinx,0,0,0%,,,,,-,,,,,,,,2020
Katarina Katarina,0,0,0%,,,,,-,,,,,,,,2020
KogMaw KogMaw,0,0,0%,,,,,-,,,,,,,,2020
Lissandra Lissandra,0,0,0%,,,,,-,,,,,,,,2020
Malzahar Malzahar,0,0,0%,,,,,-,,,,,,,,2020
Master Yi Master Yi,0,0,0%,,,,,-,,,,,,,,2020
Nami Nami,0,0,0%,,,,,-,,,,,,,,2020
Nasus Nasus,0,0,0%,,,,,-,,,,,,,,2020
Nunu Nunu,0,0,0%,,,,,-,,,,,,,,2020
Olaf Olaf,0,0,0%,,,,,-,,,,,,,,2020
Poppy Poppy,0,0,0%,,,,,-,,,,,,,,2020
Rammus Rammus,0,0,0%,,,,,-,,,,,,,,2020
Riven Riven,0,0,0%,,,,,-,,,,,,,,2020
Rumble Rumble,0,0,0%,,,,,-,,,,,,,,2020
Sejuani Sejuani,0,0,0%,,,,,-,,,,,,,,2020
Shaco Shaco,0,0,0%,,,,,-,,,,,,,,2020
Shyvana Shyvana,0,0,0%,,,,,-,,,,,,,,2020
Sivir Sivir,0,0,0%,,,,,-,,,,,,,,2020
Skarner Skarner,0,0,0%,,,,,-,,,,,,,,2020
Sona Sona,0,0,0%,,,,,-,,,,,,,,2020
Soraka Soraka,0,0,0%,,,,,-,,,,,,,,2020
Talon Talon,0,0,0%,,,,,-,,,,,,,,2020
Teemo Teemo,0,0,0%,,,,,-,,,,,,,,2020
Tristana Tristana,0,0,0%,,,,,-,,,,,,,,2020
Trundle Trundle,0,0,0%,,,,,-,,,,,,,,2020
Tryndamere Tryndamere,0,0,0%,,,,,-,,,,,,,,2020
Udyr Udyr,0,0,0%,,,,,-,,,,,,,,2020
Varus Varus,0,0,0%,,,,,-,,,,,,,,2020
Veigar Veigar,0,0,0%,,,,,-,,,,,,,,2020
Vi Vi,0,0,0%,,,,,-,,,,,,,,2020
Viktor Viktor,0,0,0%,,,,,-,,,,,,,,2020
Warwick Warwick,0,0,0%,,,,,-,,,,,,,,2020
Xerath Xerath,0,0,0%,,,,,-,,,,,,,,2020
Xin Zhao Xin Zhao,0,0,0%,,,,,-,,,,,,,,2020
Yasuo Yasuo,0,0,0%,,,,,-,,,,,,,,2020
Yorick Yorick,0,0,0%,,,,,-,,,,,,,,2020
Zac Zac,0,0,0%,,,,,-,,,,,,,,2020
Zed Zed,0,0,0%,,,,,-,,,,,,,,2020
Zyra Zyra,0,0,0%,,,,,-,,,,,,,,2020
RekSai RekSai,0,0,0%,,,,,-,,,,,,,,2020
Illaoi Illaoi,0,0,0%,,,,,-,,,,,,,,2020
Aurelion Sol Aurelion Sol,0,0,0%,,,,,-,,,,,,,,2020
Taliyah Taliyah,0,0,0%,,,,,-,,,,,,,,2020
Kled Kled,0,0,0%,,,,,-,,,,,,,,2020
Ivern Ivern,0,0,0%,,,,,-,,,,,,,,2020
Xayah Xayah,0,0,0%,,,,,-,,,,,,,,2020
Kayn Kayn,0,0,0%,,,,,-,,,,,,,,2020
Kaisa Kaisa,0,0,0%,,,,,-,,,,,,,,2020
Pyke Pyke,0,0,0%,,,,,-,,,,,,,,2020
Neeko Neeko,0,0,0%,,,,,-,,,,,,,,2020
Qiyana Qiyana,0,0,0%,,,,,-,,,,,,,,2020
Yone Yone,0,0,0%,,,,,-,,,,,,,,2020
Samira Samira,0,0,0%,,,,,-,,,,,,,,2020
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2020
Rell Rell,0,0,0%,,,,,-,,,,,,,,2020
Viego Viego,0,0,0%,,,,,-,,,,,,,,2020
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2020
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2020
Vex Vex,0,0,0%,,,,,-,,,,,,,,2020
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2020
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2020
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2020
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2020
KSante KSante,0,0,0%,,,,,-,,,,,,,,2020
Milio Milio,0,0,0%,,,,,-,,,,,,,,2020
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2020
Briar Briar,0,0,0%,,,,,-,,,,,,,,2020
